crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,black,lstat,medv
0,18,2,0,1,7,65,4,1,296,15,397,5,24
0,0,7,0,0,6,79,5,2,242,18,397,9,22
0,0,7,0,0,7,61,5,2,242,18,393,4,35
0,0,2,0,0,7,46,6,3,222,19,395,3,33
0,0,2,0,0,7,54,6,3,222,19,397,5,36
0,0,2,0,0,6,59,6,3,222,19,394,5,29
0,13,8,0,1,6,67,6,5,311,15,396,12,23
0,13,8,0,1,6,96,6,5,311,15,397,19,27
0,13,8,0,1,6,100,6,5,311,15,387,30,17
0,13,8,0,1,6,86,7,5,311,15,387,17,19
0,13,8,0,1,6,94,6,5,311,15,393,20,15
0,13,8,0,1,6,83,6,5,311,15,397,13,19
0,13,8,0,1,6,39,5,5,311,15,391,16,22
1,0,8,0,1,6,62,5,4,307,21,397,8,20
1,0,8,0,1,6,85,4,4,307,21,380,10,18
1,0,8,0,1,6,57,4,4,307,21,396,8,20
1,0,8,0,1,6,29,4,4,307,21,387,7,23
1,0,8,0,1,6,82,4,4,307,21,387,15,18
1,0,8,0,1,5,37,4,4,307,21,289,12,20
1,0,8,0,1,6,70,4,4,307,21,391,11,18
1,0,8,0,1,6,98,4,4,307,21,377,21,14
1,0,8,0,1,6,89,4,4,307,21,393,14,20
1,0,8,0,1,6,92,4,4,307,21,397,19,15
1,0,8,0,1,6,100,4,4,307,21,395,20,15
1,0,8,0,1,6,94,4,4,307,21,394,16,16
1,0,8,0,1,6,86,4,4,307,21,303,17,14
1,0,8,0,1,6,90,5,4,307,21,377,15,17
1,0,8,0,1,6,89,4,4,307,21,306,17,15
1,0,8,0,1,6,94,4,4,307,21,388,13,18
1,0,8,0,1,7,87,4,4,307,21,380,12,21
1,0,8,0,1,6,94,4,4,307,21,360,23,13
1,0,8,0,1,6,100,4,4,307,21,377,13,15
1,0,8,0,1,6,82,4,4,307,21,233,28,13
1,0,8,0,1,6,95,4,4,307,21,359,18,13
2,0,8,0,1,6,97,4,4,307,21,248,20,14
0,0,6,0,0,6,68,3,5,279,19,397,10,19
0,0,6,0,0,6,61,3,5,279,19,378,11,20
0,0,6,0,0,6,42,4,5,279,19,397,9,21
0,0,6,0,0,6,30,4,5,279,19,393,10,25
0,75,3,0,0,7,22,5,3,252,18,396,4,31
0,75,3,0,0,7,16,5,3,252,18,396,2,35
0,0,7,0,0,7,3,6,3,233,18,385,5,27
0,0,7,0,0,6,7,6,3,233,18,383,6,25
0,0,7,0,0,6,7,6,3,233,18,394,7,25
0,0,7,0,0,6,40,6,3,233,18,389,10,21
0,0,7,0,0,6,34,5,3,233,18,397,10,19
0,0,7,0,0,6,33,5,3,233,18,397,14,20
0,0,7,0,0,6,86,6,3,233,18,393,19,17
0,0,7,0,0,5,95,6,3,233,18,397,31,14
0,0,7,0,0,6,62,6,3,233,18,397,16,19
0,21,6,0,0,6,46,7,4,243,17,396,13,20
0,21,6,0,0,6,63,7,4,243,17,394,9,21
0,21,6,0,0,7,21,7,4,243,17,397,5,25
0,21,6,0,0,6,21,7,4,243,17,397,8,23
0,75,4,0,0,6,48,7,3,469,21,397,15,19
0,90,1,0,0,7,22,9,5,226,18,396,5,35
0,85,1,0,0,6,36,9,2,313,17,397,6,25
0,100,1,0,0,7,41,8,5,256,15,393,4,32
0,25,5,0,0,6,29,8,8,284,20,391,7,23
0,25,5,0,0,6,47,7,8,284,20,397,9,20
0,25,5,0,0,6,66,7,8,284,20,395,13,19
0,25,5,0,0,6,93,7,8,284,20,378,14,16
0,25,5,0,0,6,68,7,8,284,20,397,7,22
0,25,5,0,0,7,43,8,8,284,20,396,10,25
0,18,1,0,0,7,60,9,3,216,19,393,8,33
0,80,3,0,0,6,18,7,4,337,16,397,5,24
0,80,3,0,0,6,31,7,4,337,16,397,10,19
0,13,6,0,0,6,21,6,4,345,19,396,8,22
0,13,6,0,0,6,37,6,4,345,19,397,13,17
0,13,6,0,0,6,33,6,4,345,19,397,9,21
0,0,11,0,0,6,7,5,4,305,19,384,7,24
0,0,11,0,0,6,18,5,4,305,19,377,10,22
0,0,11,0,0,6,8,5,4,305,19,391,6,23
0,0,11,0,0,6,6,5,4,305,19,377,8,23
0,0,13,0,0,6,6,4,5,398,19,395,7,24
0,0,13,0,0,6,45,5,5,398,19,383,9,21
0,0,13,0,0,6,75,4,5,398,19,374,12,20
0,0,13,0,0,6,46,4,5,398,19,387,10,21
0,0,13,0,0,6,54,5,5,398,19,386,12,21
0,0,13,0,0,6,37,5,5,398,19,396,9,20
0,25,5,0,0,7,34,5,4,281,19,397,5,28
0,25,5,0,0,7,70,5,4,281,19,396,7,24
0,25,5,0,0,6,32,5,4,281,19,397,7,25
0,25,5,0,0,6,47,5,4,281,19,391,8,23
0,0,4,0,0,6,48,5,3,247,19,397,10,24
0,0,4,0,0,7,56,4,3,247,19,392,7,27
0,0,4,0,0,6,45,4,3,247,19,396,13,23
0,0,4,0,0,6,57,4,3,247,19,395,8,22
0,0,3,0,0,7,86,3,2,270,18,397,6,24
0,0,3,0,0,7,63,3,2,270,18,396,6,29
0,0,3,0,0,6,66,3,2,270,18,392,9,23
0,0,3,0,0,6,74,3,2,270,18,394,8,22
0,28,15,0,0,6,54,4,4,270,18,395,8,23
0,28,15,0,0,6,29,4,4,270,18,396,6,25
0,28,15,0,0,6,77,4,4,270,18,397,11,21
0,0,3,0,0,7,58,3,2,276,18,358,7,28
0,0,3,0,0,6,70,3,2,276,18,392,11,21
0,0,3,0,0,8,76,3,2,276,18,397,4,39
0,0,3,0,0,8,37,3,2,276,18,394,4,44
0,0,3,0,0,7,63,3,2,276,18,397,6,33
0,0,9,0,1,7,80,3,5,384,21,395,9,28
0,0,9,0,1,7,71,3,5,384,21,396,8,27
0,0,9,0,1,6,85,3,5,384,21,71,11,19
0,0,9,0,1,6,87,3,5,384,21,394,13,19
0,0,9,0,1,6,90,2,5,384,21,393,12,20
0,0,9,0,1,6,97,2,5,384,21,394,16,20
0,0,9,0,1,6,92,2,5,384,21,396,19,20
0,0,9,0,1,6,85,2,5,384,21,388,14,20
0,0,9,0,1,6,97,2,5,384,21,395,12,20
0,0,9,0,1,6,91,3,5,384,21,391,16,19
0,0,9,0,1,6,54,3,5,384,21,393,13,22
0,0,10,0,1,7,82,3,6,432,18,396,10,23
0,0,10,0,1,6,93,2,6,432,18,395,16,19
0,0,10,0,1,6,95,3,6,432,18,397,17,19
0,0,10,0,1,6,84,2,6,432,18,389,10,19
0,0,10,0,1,6,88,2,6,432,18,345,16,18
0,0,10,0,1,6,73,3,6,432,18,393,12,21
0,0,10,0,1,6,83,3,6,432,18,395,10,19
0,0,10,0,1,6,73,2,6,432,18,339,15,20
0,0,10,0,1,6,65,3,6,432,18,392,14,19
0,0,26,0,1,6,70,2,2,188,19,389,14,22
0,0,26,0,1,6,84,2,2,188,19,378,14,20
0,0,26,0,1,6,93,2,2,188,19,378,18,21
0,0,26,0,1,6,97,2,2,188,19,370,25,17
0,0,26,0,1,6,96,2,2,188,19,379,18,19
0,0,26,0,1,6,88,2,2,188,19,385,15,21
0,0,26,0,1,6,96,2,2,188,19,359,27,16
0,0,22,0,1,6,96,2,4,437,21,392,17,16
0,0,22,0,1,6,99,2,4,437,21,397,15,18
1,0,22,0,1,6,95,2,4,437,21,397,18,14
0,0,22,0,1,6,99,2,4,437,21,395,13,19
1,0,22,0,1,6,98,2,4,437,21,397,12,20
1,0,22,0,1,6,98,2,4,437,21,386,11,23
0,0,22,0,1,6,95,2,4,437,21,389,15,18
1,0,22,0,1,6,98,2,4,437,21,263,17,16
1,0,22,0,1,6,98,2,4,437,21,395,17,18
0,0,22,0,1,6,94,2,4,437,21,378,17,17
0,0,22,0,1,6,98,2,4,437,21,394,15,17
0,0,22,0,1,6,98,2,4,437,21,392,21,13
1,0,22,0,1,6,98,2,4,437,21,397,18,18
0,0,22,0,1,6,94,2,4,437,21,388,24,14
2,0,22,0,1,5,100,1,4,437,21,397,34,14
3,0,20,1,1,5,100,1,5,403,15,397,27,13
4,0,20,0,1,5,100,1,5,403,15,397,26,16
3,0,20,0,1,5,98,1,5,403,15,397,29,12
2,0,20,0,1,6,100,1,5,403,15,173,28,14
2,0,20,0,1,6,100,2,5,403,15,169,17,16
2,0,20,0,1,5,96,1,5,403,15,392,30,15
2,0,20,0,1,5,94,2,5,403,15,357,28,18
3,0,20,0,1,6,95,2,5,403,15,352,21,15
2,0,20,0,1,6,97,2,5,403,15,373,14,22
1,0,20,0,1,5,100,2,5,403,15,342,13,20
1,0,20,1,1,5,88,2,5,403,15,343,12,15
2,0,20,0,1,6,99,2,5,403,15,262,16,19
1,0,20,1,1,6,96,2,5,403,15,321,15,17
4,0,20,1,1,6,83,2,5,403,15,88,15,16
2,0,20,0,1,5,94,2,5,403,15,89,16,13
1,0,20,0,1,7,97,2,5,403,15,363,5,41
1,0,20,0,1,6,100,2,5,403,15,354,6,24
1,0,20,0,1,7,100,2,5,403,15,364,7,23
1,0,20,1,1,6,93,2,5,403,15,339,6,27
1,0,20,0,1,7,91,2,5,403,15,374,2,50
2,0,20,1,1,8,98,2,5,403,15,390,2,50
2,0,20,1,1,8,94,2,5,403,15,388,3,50
2,0,20,0,1,6,92,2,5,403,15,395,12,23
3,0,20,0,1,6,93,2,5,403,15,240,10,25
2,0,20,0,1,8,96,2,5,403,15,369,4,50
2,0,20,0,1,6,79,2,5,403,15,228,12,24
2,0,20,0,1,6,96,2,5,403,15,297,11,24
2,0,20,0,1,6,95,2,5,403,15,330,11,22
1,0,20,0,1,6,95,2,5,403,15,292,14,17
2,0,20,0,1,6,97,2,5,403,15,348,12,19
0,0,4,0,1,6,89,3,5,296,17,397,15,23
0,0,4,0,1,6,84,3,5,296,17,396,9,24
0,0,4,0,1,6,69,3,5,296,17,393,10,23
0,0,4,0,1,7,33,3,5,296,17,391,5,29
0,0,4,0,1,6,47,4,5,296,17,393,10,23
0,0,4,0,1,6,73,3,5,296,17,396,6,25
0,0,4,0,1,7,74,3,5,296,17,391,7,30
0,0,2,0,0,7,58,3,3,193,18,397,5,37
0,0,2,0,0,8,83,3,3,193,18,396,8,40
0,0,2,0,0,6,62,3,3,193,18,397,9,36
0,0,2,0,0,7,92,3,3,193,18,394,5,38
0,0,2,0,0,7,96,3,3,193,18,397,6,33
0,0,2,0,0,6,90,3,3,193,18,391,14,26
0,0,2,0,0,6,69,3,3,193,18,387,13,30
0,0,2,0,0,8,54,3,3,193,18,393,4,50
0,45,3,0,0,7,41,4,5,398,15,394,7,32
0,45,3,0,0,7,29,5,5,398,15,383,5,30
0,45,3,0,0,7,39,5,5,398,15,397,5,35
0,45,3,0,0,7,22,6,5,398,15,378,5,37
0,45,3,0,0,7,31,6,5,398,15,390,5,31
0,45,3,0,0,7,26,6,5,398,15,390,3,36
0,60,3,0,0,7,10,6,1,265,16,393,5,31
0,60,3,0,0,7,19,6,1,265,16,377,4,29
0,80,0,0,0,8,32,6,4,255,14,394,3,50
0,80,2,0,0,7,34,7,2,329,13,397,4,33
0,80,2,0,0,7,37,7,2,329,13,354,9,30
0,80,2,0,0,7,38,7,2,329,13,392,7,35
0,95,1,0,0,7,15,8,3,402,17,397,5,35
0,95,1,0,0,7,14,8,3,402,17,384,4,33
0,83,2,0,0,6,38,6,2,348,15,394,7,24
0,83,2,0,0,8,16,6,2,348,15,395,3,42
0,95,3,0,0,8,33,5,4,224,15,393,4,49
0,95,3,0,0,8,32,5,4,224,15,391,3,50
0,0,11,0,0,6,22,4,4,277,19,397,11,23
0,0,11,0,0,6,53,4,4,277,19,395,11,24
0,0,11,0,0,6,73,4,4,277,19,389,18,23
0,0,11,1,0,6,59,4,4,277,19,381,15,24
0,0,11,1,0,5,100,4,4,277,19,397,23,20
0,0,11,1,0,6,92,4,4,277,19,393,17,22
0,0,11,1,0,5,89,4,4,277,19,395,24,19
0,0,11,1,0,6,54,4,4,277,19,391,16,22
0,0,11,0,0,6,32,4,4,277,19,386,9,28
0,0,11,0,0,5,10,4,4,277,19,349,30,24
0,0,11,0,0,6,42,4,4,277,19,394,9,25
0,0,14,1,1,6,56,3,5,276,16,393,14,23
0,0,14,0,1,7,85,3,5,276,16,393,10,29
0,0,14,1,1,6,94,3,5,276,16,397,18,22
0,0,14,1,1,6,92,3,5,276,16,394,11,23
0,0,6,1,1,7,89,3,8,307,17,392,10,27
0,0,6,1,1,6,91,3,8,307,17,395,21,22
1,0,6,1,1,7,78,3,8,307,17,390,10,28
1,0,6,0,1,7,81,3,8,307,17,397,8,30
0,0,6,0,1,8,78,3,8,307,17,385,4,45
1,0,6,0,1,9,83,3,8,307,17,382,5,50
0,0,6,0,1,8,87,3,8,307,17,387,3,38
0,0,6,0,1,7,80,3,8,307,17,372,6,32
0,0,6,0,1,8,17,3,8,307,17,378,4,47
0,0,6,0,1,7,21,3,8,307,17,380,4,32
1,0,6,0,1,6,68,4,8,307,17,378,12,24
0,0,6,0,1,7,77,4,8,307,17,376,5,32
1,0,6,0,1,8,73,4,8,307,17,386,2,42
0,0,6,0,1,8,70,4,8,307,17,379,4,48
0,0,6,1,1,7,67,4,8,307,17,360,8,29
0,0,6,0,1,6,62,4,8,307,17,377,11,24
1,0,6,1,1,7,77,4,8,307,17,388,10,25
1,0,6,0,1,7,72,4,8,307,17,390,5,32
0,30,5,0,0,6,19,6,6,300,17,379,6,24
0,30,5,0,0,7,42,6,6,300,17,384,7,23
0,30,5,0,0,7,54,6,6,300,17,391,11,22
0,30,5,0,0,6,65,6,6,300,17,395,12,20
0,30,5,0,0,6,53,7,6,300,17,373,11,22
0,30,5,0,0,6,8,7,6,300,17,375,5,24
0,22,6,0,0,6,77,8,7,330,19,372,13,18
0,22,6,0,0,6,70,8,7,330,19,389,18,19
0,22,6,0,0,6,35,8,7,330,19,390,9,24
0,22,6,0,0,6,79,8,7,330,19,376,10,21
0,22,6,0,0,6,49,8,7,330,19,375,10,25
0,22,6,0,0,7,18,8,7,330,19,394,7,26
0,22,6,0,0,6,13,7,7,330,19,396,6,24
0,22,6,0,0,6,9,7,7,330,19,377,4,25
0,22,6,0,0,7,7,9,7,330,19,386,4,30
0,22,6,0,0,8,8,9,7,330,19,397,4,43
0,80,4,0,0,6,32,9,1,315,16,393,7,22
